filename,filepath,emotion_code,emotion,intensity,statement,repeat,actor,gender,split
03-01-05-01-01-01-02.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-01-01-02.wav,5,angry,normal,1,1,2,female,train
03-01-05-01-01-02-02.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-01-02-02.wav,5,angry,normal,1,2,2,female,train
03-01-05-01-02-01-02.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-02-01-02.wav,5,angry,normal,2,1,2,female,train
03-01-05-01-02-02-02.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-02-02-02.wav,5,angry,normal,2,2,2,female,train
03-01-05-02-01-01-02.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-01-01-02.wav,5,angry,strong,1,1,2,female,train
03-01-05-02-01-02-02.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-01-02-02.wav,5,angry,strong,1,2,2,female,train
03-01-05-02-02-01-02.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-02-01-02.wav,5,angry,strong,2,1,2,female,train
03-01-05-02-02-02-02.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-02-02-02.wav,5,angry,strong,2,2,2,female,train
03-01-05-01-01-01-03.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-01-01-03.wav,5,angry,normal,1,1,3,male,train
03-01-05-01-01-02-03.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-01-02-03.wav,5,angry,normal,1,2,3,male,train
03-01-05-01-02-01-03.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-02-01-03.wav,5,angry,normal,2,1,3,male,train
03-01-05-01-02-02-03.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-02-02-03.wav,5,angry,normal,2,2,3,male,train
03-01-05-02-01-01-03.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-01-01-03.wav,5,angry,strong,1,1,3,male,train
03-01-05-02-01-02-03.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-01-02-03.wav,5,angry,strong,1,2,3,male,train
03-01-05-02-02-01-03.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-02-01-03.wav,5,angry,strong,2,1,3,male,train
03-01-05-02-02-02-03.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-02-02-03.wav,5,angry,strong,2,2,3,male,train
03-01-05-01-01-01-04.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-01-01-04.wav,5,angry,normal,1,1,4,female,train
03-01-05-01-01-02-04.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-01-02-04.wav,5,angry,normal,1,2,4,female,train
03-01-05-01-02-01-04.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-02-01-04.wav,5,angry,normal,2,1,4,female,train
03-01-05-01-02-02-04.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-02-02-04.wav,5,angry,normal,2,2,4,female,train
03-01-05-02-01-01-04.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-01-01-04.wav,5,angry,strong,1,1,4,female,train
03-01-05-02-01-02-04.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-01-02-04.wav,5,angry,strong,1,2,4,female,train
03-01-05-02-02-01-04.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-02-01-04.wav,5,angry,strong,2,1,4,female,train
